Perm,CUSIP,SIC,ISSUER_NAME,SHARES,PRICE,OFFER_SIZE,ISSUE_DATE,ANNOUNCEMENT_DATE,PERIOD
76129,88553510,3576,3COM CORP,1200000,23.5,28.2,1987-03-13,1987-03-06,7.0
65832,00162910,2834,A L LABORATORIES INC,1350000,12.0,16.2,1988-06-30,1988-05-17,44.0
71239,00206210,3661,A.T.&E. CORP,1000000,9.0,9.0,1985-02-21,,
54594,00036110,3662,AAR CORP,2000000,18.375,36.75,1984-02-02,1984-01-30,3.0
54594,00036110,3662,AAR CORP,1350000,21.25,28.688,1986-08-04,1986-07-22,13.0
20482,00282410,2834,ABBOTT LABORATORIES,2000000,46.625,93.25,1976-08-04,,
10605,00429910,6311,ACCELERATION CORP,1500000,8.25,12.375,1983-06-28,1983-05-16,43.0
10057,00462610,3541,ACME-CLEVELAND CORP,1500000,26.25,39.375,1984-01-18,1984-01-04,14.0
10752,00531310,3844,ADAC LABS,600000,12.0,7.2,1980-12-19,1980-11-21,28.0
10752,00531310,3844,ADAC LABS,500000,16.5,8.25,1981-12-17,1981-11-25,22.0
10752,00531310,3844,ADAC LABS,1000000,18.125,18.125,1982-11-23,1982-11-02,21.0
85113,00687410,7363,ADIA SERVICES INC,750000,22.25,16.688,1987-06-17,1987-05-05,43.0
85113,00687410,7363,ADIA SERVICES INC,1000000,28.25,28.25,1988-07-08,1988-06-24,14.0
61241,00790310,3573,ADVANCED MICRO DEVICES,1000000,23.625,23.625,1982-08-05,1982-07-30,6.0
65840,00754710,7814,ADVANCED SYSTEMS INC,600000,22.0,13.2,1983-03-29,1983-03-10,19.0
11173,00818210,6022,AFFILIATED BKSHARES COLO,350000,24.0,8.4,1978-10-19,,
11575,00105720,7370,AFN INC,3200000,0.625,2.0,1989-02-10,1988-12-16,56.0
11192,00848810,2834,AGOURON PHARMACEUTICALS,1500000,11.0,16.5,1989-10-11,1989-08-21,51.0
11317,00911410,4512,AIR FLORIDA SYSTEMS INC,3000000,13.5,40.5,1981-05-08,,
11376,00923610,4512,AIR WISCONSIN INC,800000,10.0,8.0,1980-06-03,1980-05-02,32.0
11376,00923610,4512,AIR WISCONSIN INC,1200000,11.375,13.65,1982-11-09,1982-10-29,11.0
51721,00926610,4712,AIRBORNE FREIGHT CORP,900000,20.125,18.112,1983-04-15,1983-03-31,15.0
51721,00926610,4712,AIRBORNE FREIGHT CORP,1000000,31.0,31.0,1987-06-05,1987-05-19,17.0
28804,01165910,4511,ALASKA AIR GROUP INC,1800000,25.875,46.575,1987-03-10,1987-03-05,5.0
49584,01204110,2251,"ALBA-WALDENSIAN, INC",350000,16.625,5.819,1983-05-03,1983-04-20,13.0
50032,01310410,5411,ALBERTSON'S INC,750000,23.0,17.25,1976-01-20,,
50032,01310410,5411,ALBERTSON'S INC,1250000,44.25,55.313,1982-10-21,1982-10-15,6.0
24264,01371610,3361,ALCAN ALUMINUM LTD,5000000,26.75,133.75,1976-06-22,,
34498,01538510,6711,ALFA CORP,1800000,11.75,21.125,1988-04-19,,
11827,01663410,7000,ALL SEASONS RESORTS INC,900000,8.75,7.875,1984-11-21,1984-10-15,37.0
10145,01951210,1311,ALLIED CORP,4000000,56.125,224.5,1980-02-21,1980-02-04,17.0
17304,01951910,5311,ALLIED STORES CORP,1000000,50.75,50.75,1976-05-04,,
63423,01955550,4811,ALLIED TELEPHONE CO,275000,16.375,4.503,1978-06-06,,
63423,01955550,4811,ALLIED TELEPHONE CO,325000,18.625,6.053,1981-06-17,1981-05-28,20.0
41443,02003910,6711,ALLTEL CORP,1000000,27.0,27.0,1985-06-25,1985-06-10,15.0
45911,02075310,3674,ALPHA INDUSTRIES,500000,28.25,14.125,1981-12-10,1981-12-02,8.0
