date,year_month,n_firms,Mkt-RF,SMB,HML,RF,portfolio_return,excess_return
1975-04-01,1975-04,1,0.0423,-0.0065,-0.0113999999999999,0.0044,0.0373,0.0329
1975-05-01,1975-05,4,0.0519,0.0383,-0.0409999999999999,0.0044,0.046900000000000004,0.0425
1975-06-01,1975-06,8,0.0483,0.0087,0.0138,0.0040999999999999,0.043300000000000005,0.0392000000000001
1975-07-01,1975-07,10,-0.0659,0.027,0.0169,0.0048,-0.0709,-0.0757
1975-08-01,1975-08,11,-0.0285,-0.0325,-0.0095,0.0048,-0.0335,-0.0383
1975-09-01,1975-09,13,-0.0426,-0.001,0.0039,0.0053,-0.047599999999999996,-0.052899999999999996
1975-10-01,1975-10,17,0.0530999999999999,-0.0403,0.0028,0.0056,0.0480999999999999,0.0424999999999999
1975-11-01,1975-11,22,0.0264,-0.012,0.0203,0.0040999999999999,0.0214,0.0173000000000001
1975-12-01,1975-12,24,-0.016,-0.0078,0.0169,0.0048,-0.021,-0.0258
1976-01-01,1976-01,26,0.1216,0.0481,0.0863,0.0046999999999999,0.1166,0.1119000000000001
1976-02-01,1976-02,27,0.0032,0.0706,0.0587,0.0034,-0.0018,-0.0052
1976-03-01,1976-03,33,0.0232,-0.0116,-0.0012,0.004,0.018199999999999997,0.014199999999999997
1976-04-01,1976-04,42,-0.0149,-0.0011,-0.0016,0.0042,-0.0199,-0.0241
1976-05-01,1976-05,44,-0.0134,-0.0123,-0.0136,0.0037,-0.0184,-0.0221
1976-06-01,1976-06,50,0.0405,-0.0132,0.0070999999999999,0.0043,0.035500000000000004,0.031200000000000006
1976-07-01,1976-07,52,-0.0107,0.0029,0.0173,0.0046999999999999,-0.0157,-0.020399999999999897
1976-08-01,1976-08,55,-0.0056,-0.02,0.0081,0.0042,-0.0106,-0.0148
1976-09-01,1976-09,57,0.0207,-0.0002,-0.0029,0.0044,0.0157,0.011299999999999998
1976-10-01,1976-10,58,-0.0242,0.0022,-0.0018,0.0040999999999999,-0.0292,-0.0332999999999999
1976-11-01,1976-11,59,0.0036,0.0232,0.0151,0.004,-0.0014000000000000002,-0.0054
1976-12-01,1976-12,60,0.0565,0.0302999999999999,0.0227,0.004,0.051500000000000004,0.0475
1977-01-01,1977-01,60,-0.0405,0.0475999999999999,0.0426999999999999,0.0036,-0.0455,-0.0491
1977-02-01,1977-02,61,-0.0194,0.0104,0.0046999999999999,0.0034999999999999,-0.0244,-0.0278999999999999
1977-03-01,1977-03,61,-0.0137,0.01,0.0109,0.0038,-0.0187,-0.022500000000000003
1977-04-01,1977-04,61,0.0015,-0.0012,0.0338,0.0038,-0.0035,-0.0073
1977-05-01,1977-05,61,-0.0144999999999999,0.0118,0.0085,0.0037,-0.0194999999999999,-0.0231999999999999
1977-06-01,1977-06,62,0.0471,0.0209,-0.0074,0.004,0.042100000000000005,0.03810000000000001
1977-07-01,1977-07,63,-0.0169,0.0216,-0.0056,0.0042,-0.0219,-0.026099999999999998
1977-08-01,1977-08,64,-0.0175,0.0148,-0.027,0.0044,-0.022500000000000003,-0.026900000000000004
1977-09-01,1977-09,64,-0.0027,0.0134,-0.0052,0.0043,-0.0077,-0.012
1977-10-01,1977-10,65,-0.0438,0.0125,0.0175,0.0049,-0.048799999999999996,-0.0537
1977-11-01,1977-11,67,0.04,0.0373,0.0026,0.005,0.035,0.030000000000000002
1977-12-01,1977-12,67,0.0027,0.0132,-0.0029,0.0049,-0.0023,-0.0072
1978-01-01,1978-01,69,-0.0601,0.0224,0.0336,0.0049,-0.0651,-0.07
1978-02-01,1978-02,70,-0.0138,0.0359,0.0083,0.0046,-0.0188,-0.0234
1978-03-01,1978-03,70,0.0285,0.0349,0.0118,0.0053,0.0235,0.0182
1978-04-01,1978-04,70,0.0788,0.0045,-0.0354,0.0054,0.07379999999999999,0.06839999999999999
1978-05-01,1978-05,68,0.0176,0.0455999999999999,-0.0052,0.0051,0.0126,0.0075
1978-06-01,1978-06,65,-0.0169,0.0166,0.0056999999999999,0.0054,-0.0219,-0.027299999999999998
1978-07-01,1978-07,71,0.0511,0.0023,-0.0115,0.0056,0.0461,0.0405
1978-08-01,1978-08,74,0.0375,0.0506,-0.0051,0.0056,0.0325,0.0269
1978-09-01,1978-09,78,-0.0143,-0.0043,0.0189,0.0062,-0.0193,-0.025500000000000002
1978-10-01,1978-10,79,-0.1191,-0.0986,0.0138,0.0068,-0.1241,-0.1309
1978-11-01,1978-11,81,0.0271,0.0297,-0.0215,0.0069999999999999,0.022099999999999998,0.015100000000000098
1978-12-01,1978-12,81,0.0088,0.0129,-0.0213,0.0078,0.0038000000000000004,-0.003999999999999999
1979-01-01,1979-01,82,0.0423,0.0362,0.0219,0.0077,0.0373,0.0296
1979-02-01,1979-02,83,-0.0356,0.0045,0.0116999999999999,0.0073,-0.0406,-0.0479
1979-03-01,1979-03,80,0.0567999999999999,0.0326,-0.0070999999999999,0.0081,0.0517999999999999,0.043699999999999906
1979-04-01,1979-04,73,-0.0006,0.0215,0.0112,0.008,-0.0056,-0.013600000000000001
1979-05-01,1979-05,73,-0.0220999999999999,0.0021,0.0131,0.0081999999999999,-0.027099999999999902,-0.035299999999999804
1979-06-01,1979-06,70,0.0385,0.0116999999999999,0.0144,0.0081,0.0335,0.025400000000000002
1979-07-01,1979-07,73,0.0081999999999999,0.0128,0.0186,0.0077,0.0031999999999999,-0.0045000000000001
1979-08-01,1979-08,71,0.0553,0.0204999999999999,-0.0158,0.0077,0.050300000000000004,0.042600000000000006
1979-09-01,1979-09,69,-0.0081999999999999,-0.0027,-0.009,0.0083,-0.0131999999999999,-0.0214999999999999
1979-10-01,1979-10,74,-0.081,-0.0337,-0.0184,0.0087,-0.08600000000000001,-0.0947
1979-11-01,1979-11,79,0.0521,0.0287,-0.0329,0.0098999999999999,0.0471,0.0372000000000001
1979-12-01,1979-12,84,0.0179,0.0417,-0.021,0.0095,0.012899999999999998,0.0033999999999999985
1980-01-01,1980-01,91,0.0550999999999999,0.0162,0.0175,0.008,0.0500999999999999,0.0420999999999999
1980-02-01,1980-02,96,-0.0121999999999999,-0.0185,0.0060999999999999,0.0089,-0.0171999999999999,-0.0260999999999999
1980-03-01,1980-03,102,-0.129,-0.0664,-0.0101,0.0121,-0.134,-0.1461
1980-04-01,1980-04,112,0.0397,0.0105,0.0106,0.0126,0.0347,0.0221
1980-05-01,1980-05,119,0.0526,0.0213,0.0038,0.0081,0.0476,0.03950000000000001
1980-06-01,1980-06,125,0.0306,0.0166,-0.0076,0.0060999999999999,0.025599999999999998,0.019500000000000097
1980-07-01,1980-07,134,0.0649,0.0414,-0.0641,0.0053,0.0599,0.0546
1980-08-01,1980-08,137,0.018,0.0392,-0.026,0.0064,0.012999999999999998,0.006599999999999997
1980-09-01,1980-09,143,0.0219,0.0098,-0.0458999999999999,0.0075,0.0169,0.009399999999999999
1980-10-01,1980-10,152,0.0106,0.0247,-0.0276,0.0095,0.0056,-0.0039
1980-11-01,1980-11,165,0.0959,-0.0336,-0.0833,0.0096,0.0909,0.0813
1980-12-01,1980-12,185,-0.0452,-0.0026,0.0279,0.0131,-0.050199999999999995,-0.0633
1981-01-01,1981-01,203,-0.0504,0.0292,0.0672,0.0104,-0.0554,-0.0658
1981-02-01,1981-02,217,0.0056999999999999,-0.0034,0.0102,0.0107,0.0006999999999998995,-0.010000000000000099
1981-03-01,1981-03,226,0.0356,0.0354,0.0064,0.0121,0.0306,0.0185
1981-04-01,1981-04,244,-0.0210999999999999,0.044,0.0227999999999999,0.0108,-0.0260999999999999,-0.036899999999999905
1981-05-01,1981-05,256,0.0011,0.02,-0.0042,0.0115,-0.0039,-0.0154
1981-06-01,1981-06,274,-0.0236,-0.0083,0.0513,0.0135,-0.0286,-0.0421
